LEMMA	POS	SAGEDUS	TASE
esindama	V	113476	B1
esindus	S	40521	B1
esinema	V	242749	A2
esitama	V	632046	A2
esiteks	D	86120	B1
esitlema	V	45524	B1
esmaabi	S	11195	B1
esmakordselt	D	65691	B1
esmalt	D	69620	B1
esmane	A	43009	B1
esmaspäev	S	111314	A1
et	J	13899799	A1
etapp	S	133060	A2
etendus	S	72961	A2
ette	D	730833	A1
ette	K	108794	A1
ette kirjutama	V		B1
ette kujutama	V		B1
ette lugema	V		B1
ette teatama	V		B1
ette valmistama	V		B1
ette võtma	V		B1
ette ütlema	V		B1
ettekandja	S	48081	B1
ettekanne	S	78758	A2
ettekujutus	S	25280	B1
ettepanek	S	350553	A2
ettepoole	D	10435	B1
ettevaatlik	A	30359	A2
ettevaatlikult	D	17151	B1
ettevaatus	S	8660	B1
ettevalmistus	S	56929	B1
ettevõte	S	432	A2
ettevõtja	S	163759	B1
euro	S	478070	A1
eurooplane	S	21911	B1
faks	S	5235	B1
fakt	S	99078	A2
farm	S	16369	B1
festival	S	102668	A2
film	S	393949	A1
filmima	V	19801	B1
filosoofia	S	28610	B1
firma	S	331561	A1
firmajuht	S	4781	A2
flööt	S	3030	A2
fond	S	87783	A2
foto	S	245749	A1
fotoaparaat	S	7289	B1
fotograaf	S	30678	A2
fraas	S	10766	B1
funktsioon	S	74285	A2
föön	S	3258	A2
füüsika	S	22480	B1
füüsiline	A	122744	B1
gaas	S	56490	A2
gaasiküte	S	1153	B1
gaasipliit	S	1709	B1
galerii	S	32417	A2
garaaž	S	11487	B1
garanteerima	V	30344	B1
garantii	S	41006	A2
garantiiaeg	S	1964	B1
garderoob	S	11057	A2
giid	S	16654	B1
gramm	S	26904	B1
grammatika	S	5800	A1
grammatiline	A	2192	B1
grillima	V	9153	B1
gripp	S	13073	B1
grupp	S	157754	A1
gümnaasium	S	90708	A2
haab	S	15904	B1
haamer	S	6888	B1
habe	S	12758	A2
haige	A	67591	A1
haige	S	61798	A2
haigekassa	S	55526	B1
haigeks jääma	V		A2
haigla	S	152539	A2
haigus	S	187947	A2
haigusleht	S	7293	B1
hais	S	11079	B1
haisema	V	9883	B1
hakkama	V	1805630	A1
hakkama saama	V		B1
hakkliha	S	7168	B1
halb	A	213901	A1
halb	S		B1
hall	A	52633	A1
hall	S	11719	B1
halloo	I	2479	A1
halvasti	D	47807	A2
halvenema	V	14464	B1
hambaarst	S	25846	A2
hambahari	S	5721	A2
hambapasta	S	6130	A2
hambavalu	S	2117	A2
hamburger	S	3469	B1
hammas	S	122463	A1
hamster	S	6033	B1
hani	S	7833	A2
hankima	V	41462	B1
hapu	A	10096	B1
hapukapsas	S	4187	B1
hapukoor	S	10823	A2
hapukurk	S	2475	A2
harakas	S	2039	B1
hari	S	15521	A2
haridus	S	171979	A2
harilik	A	21726	B1
harilikult	D	10987	B1
harima	V	31429	B1
haritud	A	578	B1
harjuma	V	84806	B1
harjutama	V	47374	B1
harjutus	S	45870	A2
haruldane	A	31417	B1
harva	D	53394	A1
haud	S	25384	B1
hea	A	1676063	A1
hea	S	11264	B1
heaks	D	40666	B1
heaks	K	37932	B1
heaks kiitma	V		B1
heameel	S	21878	B1
heebrea	G	2967	B1
hein	S	18548	B1
heitma	V	81408	B1
hektar	S	34298	A2
hele	A	34990	A1
heli	S	56187	B1
helikopter	S	11552	A2
helilooja	S	34076	A2
helistama	V	124384	A1
herilane	S	3974	B1
hernes	S	9097	A2
hernesupp	S	1880	B1
hetk	S	579958	A1
hiina	G	17410	A1
hiinlane	S	17348	B1
hiir	S	34572	A1
hiline	A	15713	B1
hilinema	V	13996	B1
hilissügis	S	3648	B1
hilja	D	31574	A1
hiljaks	D	14150	B1
hiljaks jääma	V		A2
hiljem	D	427815	A2
hiljemalt	D	52992	B1
hiljuti	D	103769	B1
hiljutine	A	24679	B1
hind	S	589890	A1
hindama	V	255704	A2
hing	S	153829	A1
hingama	V	36262	A2
hingamine	S	24438	B1
hinnang	S	246228	B1
hinne	S	38736	A2
hirm	S	119415	B1
hirmus	A	24146	B1
hirmus	D	14872	B1
hirmutama	V	17151	B1
hispaania	G	10810	A2
hispaanlane	S	11716	B1
hobune	S	122560	A2
hoiak	S	39346	B1
hoiatama	V	50197	B1
hoidma	V	548643	A2
hoiduma	V	28928	B1
hoki	S	2903	B1
hollandlane	S	10943	B1
homme	D	114288	A1
hommik	S	276679	A1
hommikumantel	S	2461	B1
hommikune	A	27240	B1
hommikusöök	S	23726	B1
hommikuti	D	16142	B1
homne	A	30593	B1
honorar	S	3627	B1
hooaeg	S	212741	A2
hool	S	67455	B1
hooldaja	S	14747	B1
hoolima	V	43583	B1
hoolimata	K	103742	B1
hoolitsema	V	57950	A2
hoone	S	232369	A2
hoopis	D	356251	B1
hoovihm	S	5052	B1
hotell	S	123913	A2
hukka mõistma	V		B1
hukkuma	V	65018	B1
hukkunu	S	18986	B1
hulgas	K	188861	A2
hulgast	K	43079	B1
hulk	S	213697	A2
hulka	K	131574	A2
hull	A	68445	A2
hull	S	27467	B1
hunt	S	36433	A2
huul	S	26347	B1
huulepulk	S	5840	B1
huvi	S	407846	A1
huvikool	S	4935	B1
huviline	S	67968	B1
huvitama	V	167610	A2
huvitav	A	298486	A1
häbelik	A	3389	B1
häbenema	V	18683	B1
häbi	S	30375	B1
häda	S	101944	A2
hädaabi	S	1840	B1
hädavajalik	A	27001	A2
häirima	V	80054	B1
hämar	A	13569	B1
härra	S	169477	A2
hästi	D	580361	A1
hävima	V	25965	B1
hävitama	V	60878	B1
hääl	S	238386	A1
hääletama	V	89658	B1
hääletus	S	39709	B1
hõbe	S	23656	B1
hõbedane	A	9178	B1
hügieen	S	5663	B1
hüppama	V	68571	A2
hüvasti	I	9090	B1
hüüdma	V	32019	B1
ida	S	57968	A2
idee	S	270846	A1
iga	P	1445039	A1
iga	S	52111	A2
iga-aastane	A	21232	A2
igapäevane	A	83065	A2
igasugune	P	173560	A2
igati	D	95301	B1
igav	A	45713	A2
igaüks	P	153443	A2
iialgi	D	14574	B1
iirlane	S	6205	B1
