word	freq_rank	proficiency	pos
oluline	980	A1	adj
seekord	983	B1	adv
imeline	986	B2	adj
kaugele	988	A2	adv
väsinud	990	B1	adj
jutt	993	A1	s
ausalt	995	A2	adv
paigal	996	B1	adv
armastus	1000	A1	s
rahulikult	1002	A2	adv
kuskil	1003	B1	adv
kümme	1004	A1	num,s
must	1006	A1	adj,s
tapa	1008		s
mäng	1011	A2	s
samas	1014	B1	adv
eluga	1018		adv
tugev	1020	A1	adj,s
terviseks	1022		interj
kutsu	1023		s
küsi	1026		
nina	1027	A1	s
perekond	1030	A1	s
pikali	1036	B1	adv
rahvas	1039	A1	s
süda	1042	A2	s
uhke	1045	A2	adj
vanaema	1046	A1	s
t	1050		s
abielus	1052	A2	adv
vihane	1053	A2	adj
valge	1056	A1	adj,s
täielikult	1060	B1	adv
idioot	1061	B2	s
andma	1064	A1	v
kaugel	1065	A2	adv
vähe	1066	A1	adv
leidis	1068		s
tark	1070	A1	adj,s
mil	1072		adv
täielik	1074	B1	adj
mõtlema	1075	A1	v
rumal	1079	A1	adj,s
laeva	1080		prop
kusagil	1085	B1	adv
valu	1090	A2	s
tasa	1093	B1	adv
võimatu	1094	B1	adj
kaheksa	1101	A1	num,s
otsi	1109		
alates	1110	A2	postp,prep
käima	1111	A1	v
omad	1112		s
puhul	1115	A1	postp
pask	1121		s,adj
tõttu	1122	A2	postp
küllalt	1123	B1	adv
elama	1124	A1	v
surm	1126	A1	s
jookse	1128		s
härrased	1135		s
selga	1138		adv,postp
seitse	1139	A1	num,s
sööma	1140	A1	v
arst	1141	A1	s
tuba	1143	A1	s
lahkuma	1144	B1	v
edu	1147	A2	s
ga	1150		
käis	1151		s
nädal	1153	A1	s
tapma	1154	B1	v
kasu	1157	A2	s
suurem	1160		adj
korraks	1162	B1	adv
pigem	1165	B1	adv
vennas	1168		s
otsas	1170	B1	adv,postp
linn	1172	A1	s
vea	1173		prop
bill	1175		s
külm	1176	A1	adj,s
leitnant	1186		s
rõõm	1188	A2	s
lahke	1189	B1	adj
külge	1192	B1	adv,postp
siiani	1193	B1	adv
kuum	1195	A2	adj,s
igavesti	1196	B2	adv
telefon	1198	A1	s
tõuse	1199		s
uh	1203		interj
teadis	1204		s
hullu	1207		adv
vanaisa	1208	A1	s
nali	1211	A1	s
ühes	1216	B2	adv,postp,prep
tühi	1219	A2	adj,s
suunas	1221		postp
põrgu	1222	B2	s
a	1223		s
õnn	1224	A2	s
ootama	1225	A1	v
eemal	1229	A2	adv
ükski	1232	B2	pron
miss	1233		s
täitsa	1235	B2	adv
tõeliselt	1237	B1	adv
tavaline	1238	A1	adj
max	1245		
jääma	1246	A2	v
lõpuni	1247		adv
vau	1249		s
maksma	1250	A1	v
peagi	1254	B1	adv
mary	1255		prop
hallo	1256		interj
seni	1259	A2	adv
laskma	1260	B1	v
hullem	1261		adj
arvata	1262		adv
üksinda	1263	B1	adv
õigesti	1265	B1	adv
korral	1268	B1	postp
eriline	1270	A2	adj
meeskond	1273	A2	s
möödas	1276	B2	adv
vara	1284	A2	adv
kerge	1285	A1	adj
kate	1286	B1	s
kirjas	1287		postp
halvasti	1288	A2	adv
viimati	1290	B2	adv
põhja	1291		
saadan	1292		s
pärit	1297		adv
ettevaatust	1299		interj
seersant	1301		s
veri	1304	A2	s
laev	1305	A1	s
üksteist	1307	A1	num
muu	1308	A2	pron
ava	1309	B2	s
olukord	1313	A2	s
inglise	1314	A1	adjg
o	1316		s
taevas	1317	A1	s
venna	1319		s
seis	1321	B1	s
lisaks	1328		adv
seisma	1330	A1	v
tihti	1332	A1	adv
kallal	1335	B2	adv,postp
lisa	1337	A2	s
normaalne	1348	A2	adj
niisama	1349	B1	adv
loe	1351	B1	s
sõnad	1354		s
kuninganna	1355	B1	s
tuhat	1356	A1	num,s
täiuslik	1360	B2	adj
loodetavasti	1366	B1	adv
muide	1367	B2	adv
sedasi	1368	B2	adv
sitapea	1369		s
viima	1370	A1	v
katki	1372	A2	adv
huvitatud	1376		adj
ütleme	1380		adv
juurest	1381	A1	adv,postp
aitama	1382	A1	v
püsi	1385		s
valus	1386	A2	adj
kõigepealt	1387	A2	adv
vaene	1390	A2	adj,s
panema	1393	A1	v
vesi	1397	A1	s
peas	1398		adv
üllatus	1402	B1	s
kurb	1403	A2	adj
uurija	1406	B2	s
segi	1414	B1	adv
ime	1415	B1	s
muusika	1421	A1	s
lahkus	1422		s
pilt	1423	A1	s
valik	1425	A2	s
tänud	1426		interj
armunud	1427		adj
teene	1428	B2	s
uskuma	1430	A1	v
kaasas	1432	A2	adv
korralikult	1439	B1	adv
peast	1440		adv
fbi	1443		
hoidma	1446	A2	v
maal	1447	A2	s
pidevalt	1449	A2	adv
veider	1450	B1	adj
igaüks	1452	A2	pron
tõsine	1453	A2	adj
vastus	1455	A1	s
kaudu	1458	A1	postp,adv
tagant	1459	B1	adv,postp
otsast	1460	B2	adv,postp
õpetaja	1466	A1	s
tund	1467	A1	s
jobu	1468		s
kaela	1470		adv
vangi	1471		adv,postp
liikuma	1476	A1	v
punane	1478	A1	adj,s
tädi	1481	A1	s
ohtu	1483		prop
kõva	1484	B1	adj
firma	1487	A1	s
kaunis	1489	A2	adj
tarvis	1495	B1	postp,adv
segane	1497	B1	adj
loo	1499		
kala	1500	A1	s
rahul	1501		adj,adv
isiklikult	1502	B1	adv
tasuta	1505	A2	adj,adv
plaani	1507		prop
hämmastav	1509	B2	adj
õnnetus	1513	A2	s
esiteks	1515	B1	adv
võlgu	1518		adv
antud	1523		adj
st	1524		
mängima	1532	A1	v
suurim	1534		adj
hetkeks	1536		vrm
vahest	1537	B2	adv
juht	1539	A2	s
major	1540		s
professor	1543	A2	s
äsja	1544	B2	adv
liha	1545	A1	s
nägemiseni	1546	A1	interj
kähku	1548	B2	adv
maas	1549	B1	adv
raamat	1558	A1	s
surema	1561	A1	v
muutus	1562	A2	s
kolmas	1564	A1	num
juuksed	1571	A1	s
ükskord	1572	B1	adv
ist	1573		s
natukene	1579	A2	adv
abielu	1580	A2	s
keeruline	1582	A2	adj
purjus	1584	B1	adj,adv
libu	1587		s
uudis	1594	A2	s
teatud	1598	B1	adj
kaitse	1599	A2	s
tõepoolest	1605	B1	adv
mark	1606	A2	s
selja	1607		
võimas	1608	B1	adj
aju	1609	B1	s
lõpetama	1610	A1	v
väljaspool	1612	B1	adv,prep
näljane	1613	B1	adj,s
litapoeg	1620		s
meelest	1623	B1	postp
teisiti	1624	B1	adv
võti	1627	B1	s
üheksa	1628	A1	num,s
otsus	1632	A2	s
lausa	1633	B1	adv
näkku	1635		vrm
karm	1639	B2	adj
usa	1640		
tõenäoliselt	1643	B1	adv
vaevalt	1644	A1	adv
pääse	1651	B2	s
kangelane	1652	B1	s
ligi	1654	B1	adv,postp,prep
häbi	1655	B1	s
majesteet	1656		s
hüva	1658		adj
kaamera	1660	A2	s
vaat	1666		s
alguses	1668		adv
laiali	1669	B1	adv
küsima	1671	A1	v
tooma	1675	A1	v
hääl	1676	A1	s
muretsema	1683	A2	v
l	1685		s
jube	1687	B1	adj
puu	1688	A1	s
vabalt	1692	B1	adv,interj
tähtsam	1694		adj
moel	1697	B2	vrm
pete	1698		s
kauaks	1702	B1	adv
pööra	1704		prop
saatus	1705	B1	s
keset	1708	B1	prep
nelja	1711		adv
jõudu	1712		interj
lähemale	1713	B1	adv
esmalt	1715	B1	adv
rõõmus	1716	A2	adj
vasakule	1719	B2	adv
tervist	1720	A1	interj
meelega	1721	B2	adv
lee	1722		s
ideaalne	1725	B2	adj
vee	1727		s
toime	1728	B2	s
armee	1730	B1	s
km	1736		
abil	1737	A2	postp
siinsamas	1739	B1	adv
tänulik	1740	B1	adj
hõivatud	1744	B2	adj
värdjas	1746	C1	s
igav	1749	A2	adj
võimeline	1752	B1	adj
kivi	1754	A1	s
ent	1755	B2	konj
pime	1757	A2	adj,s
prantsuse	1761	A2	adjg
avatud	1762		adv,adj
lõuna	1765	A1	s
korraga	1766	B1	adv
süütu	1768	B2	adj,s
matt	1773	B1	s
igaveseks	1775	B2	adv
kindlalt	1783	B1	adv
de	1789		
leedi	1790	B2	s
jõud	1791	A2	s
kohtuma	1793	A1	v
kingitus	1795	A2	s
kallike	1803		s
enamus	1805	B1	s
don	1806		s
vajalik	1807	A1	adj
paika	1808		adv
suletud	1809		adj,adv
hiljuti	1815	B1	adv
ülesanne	1817	A2	s
omavahel	1821	A2	adv
mõju	1824	B1	s
lemmik	1826	A1	s,adj
toit	1830	A1	s
paremale	1836	A2	adv
nimelt	1837	B1	adv
ohutu	1840	B1	adj
eelmine	1844	A1	adj
film	1845	A1	s
osas	1846	B2	adv,postp
naeruväärne	1847	B2	adj
kauem	1848		adv
võmm	1853		s
info	1857	A1	s
tõbras	1858		s
vaikselt	1863	A2	adv
koletis	1864	B2	s
kah	1867		adv
paps	1868		s
hiina	1870		adjg
arusaadav	1872	B1	adj
nagunii	1874	B2	adv
printsess	1877	B2	s
saladus	1878	B1	s
rahulik	1887	A2	adj
jess	1890		interj
küllap	1894	B2	adv
jätma	1897	A2	v
kõikjal	1898	B1	adv
ülesse	1899		adv
külla	1900	B1	adv
pagana	1904		adjg,adv
aeglaselt	1905	B1	adv
advokaat	1907	B1	s
ala	1908	A2	s
õnneks	1909	B1	adv,postp
kuul	1910	B1	s
huvi	1912	A1	s
